Home Type,Home Size,Number of Occupants,Energy Type,Monthly Electricity Bill,CO2 Emissions (kg)
Detached house,Under 1000 sq. ft.,2 Occupants,Wood,Over $200,3200
Detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,2700
Detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,2940
Detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3110
Detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,3280
Detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,3600
Detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,Under $50,380
Detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,$50-$100,550
Detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1600
Detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2050
Detached house,Under 1000 sq. ft.,3-4 Occupants,Electricity,Over $200,2700
Detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,Under $50,3200
Detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,$50-$100,5700
Detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,$100-$150,6700
Detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,$150-$200,7700
Detached house,Under 1000 sq. ft.,3-4 Occupants,Oil,Over $200,8700
Detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,Under $50,4370
Detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,$50-$100,4900
Detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,$100-$150,5900
Detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,$150-$200,6900
Detached house,Under 1000 sq. ft.,3-4 Occupants,Propane,Over $200,7900
Detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,Under $50,2670
Detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,$50-$100,2840
Detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,$100-$150,3010
Detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,$150-$200,3180
Detached house,Under 1000 sq. ft.,3-4 Occupants,Wood,Over $200,3500
Detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,Under $50,3000
Detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3240
Detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,$100-$150,3410
Detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,$150-$200,3580
Detached house,Under 1000 sq. ft.,5 Occupants,Natural Gas,Over $200,3900
Detached house,Under 1000 sq. ft.,5 Occupants,Electricity,Under $50,450
Detached house,Under 1000 sq. ft.,5 Occupants,Electricity,$50-$100,600
Detached house,Under 1000 sq. ft.,5 Occupants,Electricity,$100-$150,1800
Detached house,Under 1000 sq. ft.,5 Occupants,Electricity,$150-$200,2200
Detached house,Under 1000 sq. ft.,5 Occupants,Electricity,Over $200,3000
Detached house,Under 1000 sq. ft.,5 Occupants,Oil,Under $50,3700
Detached house,Under 1000 sq. ft.,5 Occupants,Oil,$50-$100,6000
Detached house,Under 1000 sq. ft.,5 Occupants,Oil,$100-$150,6950
Detached house,Under 1000 sq. ft.,5 Occupants,Oil,$150-$200,8000
Detached house,Under 1000 sq. ft.,5 Occupants,Oil,Over $200,9000
Detached house,Under 1000 sq. ft.,5 Occupants,Propane,Under $50,5270
Detached house,Under 1000 sq. ft.,5 Occupants,Propane,$50-$100,5200
Detached house,Under 1000 sq. ft.,5 Occupants,Propane,$100-$150,6200
Detached house,Under 1000 sq. ft.,5 Occupants,Propane,$150-$200,7200
Detached house,Under 1000 sq. ft.,5 Occupants,Propane,Over $200,8200
Detached house,Under 1000 sq. ft.,5 Occupants,Wood,Under $50,2970
Detached house,Under 1000 sq. ft.,5 Occupants,Wood,$50-$100,3140
Detached house,Under 1000 sq. ft.,5 Occupants,Wood,$100-$150,3310
Detached house,Under 1000 sq. ft.,5 Occupants,Wood,$150-$200,3480
Detached house,Under 1000 sq. ft.,5 Occupants,Wood,Over $200,3800
Detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2800
Detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,5900
Detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,6500
Detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,7100
Detached house,1000-2000 sq. ft.,1 Occupant,Natural Gas,Over $200,8300
Detached house,1000-2000 sq. ft.,1 Occupant,Electricity,Under $50,300
Detached house,1000-2000 sq. ft.,1 Occupant,Electricity,$50-$100,600
Detached house,1000-2000 sq. ft.,1 Occupant,Electricity,$100-$150,1200
Detached house,1000-2000 sq. ft.,1 Occupant,Electricity,$150-$200,1800
Detached house,1000-2000 sq. ft.,1 Occupant,Electricity,Over $200,2400
Detached house,1000-2000 sq. ft.,1 Occupant,Oil,Under $50,3800
Detached house,1000-2000 sq. ft.,1 Occupant,Oil,$50-$100,5300
Detached house,1000-2000 sq. ft.,1 Occupant,Oil,$100-$150,6200
Detached house,1000-2000 sq. ft.,1 Occupant,Oil,$150-$200,7200
Detached house,1000-2000 sq. ft.,1 Occupant,Oil,Over $200,8200
Detached house,1000-2000 sq. ft.,1 Occupant,Propane,Under $50,3770
Detached house,1000-2000 sq. ft.,1 Occupant,Propane,$50-$100,3940
Detached house,1000-2000 sq. ft.,1 Occupant,Propane,$100-$150,7100
Detached house,1000-2000 sq. ft.,1 Occupant,Propane,$150-$200,4280
Detached house,1000-2000 sq. ft.,1 Occupant,Propane,Over $200,4600
Detached house,1000-2000 sq. ft.,1 Occupant,Wood,Under $50,3670
Detached house,1000-2000 sq. ft.,1 Occupant,Wood,$50-$100,3840
Detached house,1000-2000 sq. ft.,1 Occupant,Wood,$100-$150,4010
Detached house,1000-2000 sq. ft.,1 Occupant,Wood,$150-$200,4180
Detached house,1000-2000 sq. ft.,1 Occupant,Wood,Over $200,4500
Detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,Under $50,3000
Detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,6100
Detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,6700
Detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,7300
Detached house,1000-2000 sq. ft.,2 Occupants,Natural Gas,Over $200,8500
Detached house,1000-2000 sq. ft.,2 Occupants,Electricity,Under $50,380
Detached house,1000-2000 sq. ft.,2 Occupants,Electricity,$50-$100,800
Detached house,1000-2000 sq. ft.,2 Occupants,Electricity,$100-$150,1450
Detached house,1000-2000 sq. ft.,2 Occupants,Electricity,$150-$200,2000
Detached house,1000-2000 sq. ft.,2 Occupants,Electricity,Over $200,2600
Detached house,1000-2000 sq. ft.,2 Occupants,Oil,Under $50,4000
Detached house,1000-2000 sq. ft.,2 Occupants,Oil,$50-$100,5440
Detached house,1000-2000 sq. ft.,2 Occupants,Oil,$100-$150,6400
Detached house,1000-2000 sq. ft.,2 Occupants,Oil,$150-$200,7400
Detached house,1000-2000 sq. ft.,2 Occupants,Oil,Over $200,8400
Detached house,1000-2000 sq. ft.,2 Occupants,Propane,Under $50,4470
Detached house,1000-2000 sq. ft.,2 Occupants,Propane,$50-$100,4640
Detached house,1000-2000 sq. ft.,2 Occupants,Propane,$100-$150,7230
Detached house,1000-2000 sq. ft.,2 Occupants,Propane,$150-$200,4980
Detached house,1000-2000 sq. ft.,2 Occupants,Propane,Over $200,5300
Detached house,1000-2000 sq. ft.,2 Occupants,Wood,Under $50,4170
Detached house,1000-2000 sq. ft.,2 Occupants,Wood,$50-$100,4340
Detached house,1000-2000 sq. ft.,2 Occupants,Wood,$100-$150,4510
Detached house,1000-2000 sq. ft.,2 Occupants,Wood,$150-$200,4680
Detached house,1000-2000 sq. ft.,2 Occupants,Wood,Over $200,5000
Detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3380
Detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,6400
Detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,7000
Detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,7600
Detached house,1000-2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,8800
Detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,Under $50,500
Detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,1050
Detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,1600
Detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,2250
Detached house,1000-2000 sq. ft.,3-4 Occupants,Electricity,Over $200,2800
Detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,Under $50,4700
Detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,$50-$100,5800
Detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,$100-$150,6700
Detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,$150-$200,7700
Detached house,1000-2000 sq. ft.,3-4 Occupants,Oil,Over $200,8700
Detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,Under $50,5670
Detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,$50-$100,5740
Detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,$100-$150,7400
Detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,$150-$200,5985
Detached house,1000-2000 sq. ft.,3-4 Occupants,Propane,Over $200,6350
Detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,Under $50,4870
Detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,$50-$100,5040
Detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,$100-$150,5210
Detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,$150-$200,5380
Detached house,1000-2000 sq. ft.,3-4 Occupants,Wood,Over $200,5750
Detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3860
Detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,6700
Detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,7300
Detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,7900
Detached house,1000-2000 sq. ft.,5 Occupants,Natural Gas,Over $200,9100
Detached house,1000-2000 sq. ft.,5 Occupants,Electricity,Under $50,600
Detached house,1000-2000 sq. ft.,5 Occupants,Electricity,$50-$100,1200
Detached house,1000-2000 sq. ft.,5 Occupants,Electricity,$100-$150,1800
Detached house,1000-2000 sq. ft.,5 Occupants,Electricity,$150-$200,2400
Detached house,1000-2000 sq. ft.,5 Occupants,Electricity,Over $200,3100
Detached house,1000-2000 sq. ft.,5 Occupants,Oil,Under $50,5350
Detached house,1000-2000 sq. ft.,5 Occupants,Oil,$50-$100,6100
Detached house,1000-2000 sq. ft.,5 Occupants,Oil,$100-$150,7000
Detached house,1000-2000 sq. ft.,5 Occupants,Oil,$150-$200,8000
Detached house,1000-2000 sq. ft.,5 Occupants,Oil,Over $200,9000
Detached house,1000-2000 sq. ft.,5 Occupants,Propane,Under $50,6570
Detached house,1000-2000 sq. ft.,5 Occupants,Propane,$50-$100,6740
Detached house,1000-2000 sq. ft.,5 Occupants,Propane,$100-$150,7550
Detached house,1000-2000 sq. ft.,5 Occupants,Propane,$150-$200,7080
Detached house,1000-2000 sq. ft.,5 Occupants,Propane,Over $200,7400
Detached house,1000-2000 sq. ft.,5 Occupants,Wood,Under $50,5670
Detached house,1000-2000 sq. ft.,5 Occupants,Wood,$50-$100,5840
Detached house,1000-2000 sq. ft.,5 Occupants,Wood,$100-$150,6010
Detached house,1000-2000 sq. ft.,5 Occupants,Wood,$150-$200,6180
Detached house,1000-2000 sq. ft.,5 Occupants,Wood,Over $200,6500
Detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,Under $50,2800
Detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,$50-$100,3000
Detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,$100-$150,3200
Detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,$150-$200,3400
Detached house,Over 2000 sq. ft.,1 Occupant,Natural Gas,Over $200,3600
Detached house,Over 2000 sq. ft.,1 Occupant,Electricity,Under $50,320
Detached house,Over 2000 sq. ft.,1 Occupant,Electricity,$50-$100,600
Detached house,Over 2000 sq. ft.,1 Occupant,Electricity,$100-$150,1800
Detached house,Over 2000 sq. ft.,1 Occupant,Electricity,$150-$200,2700
Detached house,Over 2000 sq. ft.,1 Occupant,Electricity,Over $200,3600
Detached house,Over 2000 sq. ft.,1 Occupant,Oil,Under $50,5400
Detached house,Over 2000 sq. ft.,1 Occupant,Oil,$50-$100,10500
Detached house,Over 2000 sq. ft.,1 Occupant,Oil,$100-$150,14000
Detached house,Over 2000 sq. ft.,1 Occupant,Oil,$150-$200,17500
Detached house,Over 2000 sq. ft.,1 Occupant,Oil,Over $200,21000
Detached house,Over 2000 sq. ft.,1 Occupant,Propane,Under $50,5570
Detached house,Over 2000 sq. ft.,1 Occupant,Propane,$50-$100,5740
Detached house,Over 2000 sq. ft.,1 Occupant,Propane,$100-$150,5800
Detached house,Over 2000 sq. ft.,1 Occupant,Propane,$150-$200,5852
Detached house,Over 2000 sq. ft.,1 Occupant,Propane,Over $200,6100
Detached house,Over 2000 sq. ft.,1 Occupant,Wood,Under $50,4170
Detached house,Over 2000 sq. ft.,1 Occupant,Wood,$50-$100,4340
Detached house,Over 2000 sq. ft.,1 Occupant,Wood,$100-$150,4510
Detached house,Over 2000 sq. ft.,1 Occupant,Wood,$150-$200,4680
Detached house,Over 2000 sq. ft.,1 Occupant,Wood,Over $200,5000
Detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,Under $50,2880
Detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,$50-$100,3200
Detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,$100-$150,3400
Detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,$150-$200,3600
Detached house,Over 2000 sq. ft.,2 Occupants,Natural Gas,Over $200,3800
Detached house,Over 2000 sq. ft.,2 Occupants,Electricity,Under $50,450
Detached house,Over 2000 sq. ft.,2 Occupants,Electricity,$50-$100,900
Detached house,Over 2000 sq. ft.,2 Occupants,Electricity,$100-$150,2100
Detached house,Over 2000 sq. ft.,2 Occupants,Electricity,$150-$200,3100
Detached house,Over 2000 sq. ft.,2 Occupants,Electricity,Over $200,3800
Detached house,Over 2000 sq. ft.,2 Occupants,Oil,Under $50,6200
Detached house,Over 2000 sq. ft.,2 Occupants,Oil,$50-$100,11000
Detached house,Over 2000 sq. ft.,2 Occupants,Oil,$100-$150,15500
Detached house,Over 2000 sq. ft.,2 Occupants,Oil,$150-$200,18100
Detached house,Over 2000 sq. ft.,2 Occupants,Oil,Over $200,22000
Detached house,Over 2000 sq. ft.,2 Occupants,Propane,Under $50,6170
Detached house,Over 2000 sq. ft.,2 Occupants,Propane,$50-$100,6340
Detached house,Over 2000 sq. ft.,2 Occupants,Propane,$100-$150,6410
Detached house,Over 2000 sq. ft.,2 Occupants,Propane,$150-$200,6560
Detached house,Over 2000 sq. ft.,2 Occupants,Propane,Over $200,6840
Detached house,Over 2000 sq. ft.,2 Occupants,Wood,Under $50,4670
Detached house,Over 2000 sq. ft.,2 Occupants,Wood,$50-$100,4840
Detached house,Over 2000 sq. ft.,2 Occupants,Wood,$100-$150,5010
Detached house,Over 2000 sq. ft.,2 Occupants,Wood,$150-$200,5180
Detached house,Over 2000 sq. ft.,2 Occupants,Wood,Over $200,5500
Detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,3000
Detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,3500
Detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3700
Detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,4100
Detached house,Over 2000 sq. ft.,3-4 Occupants,Natural Gas,Over $200,4100
Detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,Under $50,520
Detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,$50-$100,1500
Detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,$100-$150,2300
Detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,$150-$200,3400
Detached house,Over 2000 sq. ft.,3-4 Occupants,Electricity,Over $200,4000
Detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,Under $50,7000
Detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,$50-$100,12500
Detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,$100-$150,16250
Detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,$150-$200,20000
Detached house,Over 2000 sq. ft.,3-4 Occupants,Oil,Over $200,23500
Detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,Under $50,6970
Detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,$50-$100,7240
Detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,$100-$150,7300
Detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,$150-$200,7600
Detached house,Over 2000 sq. ft.,3-4 Occupants,Propane,Over $200,7890
Detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,Under $50,5270
Detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,$50-$100,5640
Detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,$100-$150,5710
Detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,$150-$200,5980
Detached house,Over 2000 sq. ft.,3-4 Occupants,Wood,Over $200,6250
Detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,Under $50,3230
Detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,$50-$100,3800
Detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,$100-$150,4000
Detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,$150-$200,4400
Detached house,Over 2000 sq. ft.,5 Occupants,Natural Gas,Over $200,4400
Detached house,Over 2000 sq. ft.,5 Occupants,Electricity,Under $50,675
Detached house,Over 2000 sq. ft.,5 Occupants,Electricity,$50-$100,1800
Detached house,Over 2000 sq. ft.,5 Occupants,Electricity,$100-$150,2700
Detached house,Over 2000 sq. ft.,5 Occupants,Electricity,$150-$200,3600
Detached house,Over 2000 sq. ft.,5 Occupants,Electricity,Over $200,4200
Detached house,Over 2000 sq. ft.,5 Occupants,Oil,Under $50,8900
Detached house,Over 2000 sq. ft.,5 Occupants,Oil,$50-$100,14000
Detached house,Over 2000 sq. ft.,5 Occupants,Oil,$100-$150,17500
Detached house,Over 2000 sq. ft.,5 Occupants,Oil,$150-$200,21000
Detached house,Over 2000 sq. ft.,5 Occupants,Oil,Over $200,25000
Detached house,Over 2000 sq. ft.,5 Occupants,Propane,Under $50,7970
Detached house,Over 2000 sq. ft.,5 Occupants,Propane,$50-$100,8140
Detached house,Over 2000 sq. ft.,5 Occupants,Propane,$100-$150,8230
Detached house,Over 2000 sq. ft.,5 Occupants,Propane,$150-$200,8300
Detached house,Over 2000 sq. ft.,5 Occupants,Propane,Over $200,8710
Detached house,Over 2000 sq. ft.,5 Occupants,Wood,Under $50,6170
Detached house,Over 2000 sq. ft.,5 Occupants,Wood,$50-$100,6340
Detached house,Over 2000 sq. ft.,5 Occupants,Wood,$100-$150,6510
Detached house,Over 2000 sq. ft.,5 Occupants,Wood,$150-$200,6680
Detached house,Over 2000 sq. ft.,5 Occupants,Wood,Over $200,7000
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,Under $50,2160
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,$50-$100,2400
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,$100-$150,2600
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,$150-$200,2800
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Natural Gas,Over $200,3000
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Electricity,Under $50,300
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Electricity,$50-$100,410
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Electricity,$100-$150,1210
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Electricity,$150-$200,1700
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Electricity,Over $200,2200
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Oil,Under $50,2500
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Oil,$50-$100,2800
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Oil,$100-$150,3000
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Oil,$150-$200,3200
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Oil,Over $200,3400
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Propane,Under $50,2200
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Propane,$50-$100,2600
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Propane,$100-$150,2800
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Propane,$150-$200,3000
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Propane,Over $200,3200
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Wood,Under $50,2100
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Wood,$50-$100,3000
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Wood,$100-$150,3200
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Wood,$150-$200,3400
Semi-detached house,Under 1000 sq. ft.,1 Occupant,Wood,Over $200,3600
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,Under $50,2349
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,$50-$100,2600
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,$100-$150,2800
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,$150-$200,3000
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Natural Gas,Over $200,3200
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Electricity,Under $50,410
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Electricity,$50-$100,500
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Electricity,$100-$150,1450
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Electricity,$150-$200,1900
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Electricity,Over $200,2500
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Oil,Under $50,2592
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Oil,$50-$100,3000
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Oil,$100-$150,3200
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Oil,$150-$200,3400
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Oil,Over $200,3600
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Propane,Under $50,2300
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Propane,$50-$100,2800
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Propane,$100-$150,3000
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Propane,$150-$200,3200
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Propane,Over $200,3400
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Wood,Under $50,2450
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Wood,$50-$100,3200
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Wood,$100-$150,3400
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Wood,$150-$200,3600
Semi-detached house,Under 1000 sq. ft.,2 Occupants,Wood,Over $200,3800
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,Under $50,2732
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$50-$100,2900
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$100-$150,3100
Semi-detached house,Under 1000 sq. ft.,3-4 Occupants,Natural Gas,$150-$200,3300
